#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-03T22:07:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fc9612912c2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/611/A1/spectrum
#-nav=cat:J/A+A/611/A1&tab:{J/A+A/611/A1/spectrum}&key:source=J/A+A/611/A1&HTTPPRM:&&-ref=VIZ5fc9612912c2&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&lambda=1390 .. 1810&-out=SSI&-out=e_SSI&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/611/A1/spectrum
#-source=J/A+A/611/A1/spectrum
#-out=lambda
#lambda=1390 .. 1810
#-out=SSI
#-out=e_SSI
#

#RESOURCE=yCat_36110001
#Name: J/A+A/611/A1
#Title: SOLAR/SOLSPEC Spectral Irradiance - 0.5-3000nm (Meftah+, 2018)
#Table	J_A_A_611_A1_spectrum:
#Name: J/A+A/611/A1/spectrum
#Title: *SOLAR-ISS spectrum, Version: 1.1, Date: 18-October-2017
#Column	lambda	(F13.8)	Wavelength	[ucd=em.wl]
#Column	SSI	(F11.8)	? Solar spectral irradiance	[ucd=spect.index]
#Column	e_SSI	(F11.8)	? Uncertainty on SSI (k=1)	[ucd=stat.error]
lambda	SSI	e_SSI
1472.95000000	 0.30751226	 0.50257709
1473.00000000	 0.30739467	 0.50249590
1473.05000000	 0.30720758	 0.50241471
1473.10000000	 0.30702050	 0.50233351
1473.15000000	 0.30683341	 0.50225232
1473.20000000	 0.30657286	 0.50217113
1473.25000000	 0.30607967	 0.50208994
1473.30000000	 0.30558648	 0.50200874
1473.35000000	 0.30509328	 0.50192755
1473.40000000	 0.30460009	 0.50184636
1473.45000000	 0.30405202	 0.50176516
1473.50000000	 0.30349784	 0.50168397
1473.55000000	 0.30294367	 0.50160278
1473.60000000	 0.30238950	 0.50152158
1473.65000000	 0.30195174	 0.50144039
1473.70000000	 0.30160470	 0.50135920
1473.75000000	 0.30125767	 0.50127800
1473.80000000	 0.30091064	 0.50119681
1473.85000000	 0.30064577	 0.50111562
1473.90000000	 0.30067217	 0.50103442
1473.95000000	 0.30069857	 0.50095323
1474.00000000	 0.30072497	 0.50087204
1474.05000000	 0.30075138	 0.50079084
1474.10000000	 0.30118699	 0.50070965
1474.15000000	 0.30168921	 0.50062846
1474.20000000	 0.30219144	 0.50054726
1474.25000000	 0.30269366	 0.50046607
1474.30000000	 0.30319272	 0.50063149
1474.35000000	 0.30368887	 0.50105564
1474.40000000	 0.30418501	 0.50147980
1474.45000000	 0.30468116	 0.50190395
1474.50000000	 0.30514427	 0.50232811
1474.55000000	 0.30545692	 0.50275226
1474.60000000	 0.30576957	 0.50317642
1474.65000000	 0.30608222	 0.50360057
1474.70000000	 0.30639487	 0.50402473
1474.75000000	 0.30643390	 0.50444889
1474.80000000	 0.30641287	 0.50487304
1474.85000000	 0.30639184	 0.50529720
1474.90000000	 0.30637082	 0.50572135
1474.95000000	 0.30617173	 0.50614551
1475.00000000	 0.30577974	 0.50656966
1475.05000000	 0.30538776	 0.50699382
1475.10000000	 0.30499577	 0.50741797
1475.15000000	 0.30462587	 0.50784213
1475.20000000	 0.30441792	 0.50826628
1475.25000000	 0.30420997	 0.50869044
1475.30000000	 0.30400202	 0.50911459
1475.35000000	 0.30379407	 0.50953875
1475.40000000	 0.30370103	 0.50996290
1475.45000000	 0.30364039	 0.51038706
1475.50000000	 0.30357976	 0.51081122
1475.55000000	 0.30351912	 0.51123537
1475.60000000	 0.30355838	 0.51165953
1475.65000000	 0.30373557	 0.51208368
1475.70000000	 0.30391276	 0.51250784
1475.75000000	 0.30408995	 0.51293199
1475.80000000	 0.30427195	 0.51335615
1475.85000000	 0.30452922	 0.51378030
1475.90000000	 0.30478650	 0.51420446
1475.95000000	 0.30504377	 0.51462861
1476.00000000	 0.30530104	 0.51505277
1476.05000000	 0.30559282	 0.51547692
1476.10000000	 0.30589938	 0.51590108
1476.15000000	 0.30620594	 0.51632523
1476.20000000	 0.30651250	 0.51674939
1476.25000000	 0.30672667	 0.51717354
1476.30000000	 0.30676150	 0.51759770
1476.35000000	 0.30679633	 0.51802186
1476.40000000	 0.30683116	 0.51844601
1476.45000000	 0.30686599	 0.51887017
1476.50000000	 0.30672893	 0.51929432
1476.55000000	 0.30658836	 0.51971848
1476.60000000	 0.30644779	 0.52014263
1476.65000000	 0.30630721	 0.52056679
1476.70000000	 0.30608809	 0.52099094
1476.75000000	 0.30582123	 0.52141510
1476.80000000	 0.30555437	 0.52183925
1476.85000000	 0.30528751	 0.52226341
1476.90000000	 0.30503803	 0.52268756
1476.95000000	 0.30483798	 0.52311172
1477.00000000	 0.30463793	 0.52353587
1477.05000000	 0.30443788	 0.52396003
1477.10000000	 0.30423784	 0.52438418
1477.15000000	 0.30413978	 0.52480834
1477.20000000	 0.30405306	 0.52523250
1477.25000000	 0.30396633	 0.52565665
1477.30000000	 0.30387961	 0.52608081
1477.35000000	 0.30387010	 0.52650496
1477.40000000	 0.30392635	 0.52692912
1477.45000000	 0.30398261	 0.52735327
1477.50000000	 0.30403886	 0.52777743
1477.55000000	 0.30408008	 0.52820158
1477.60000000	 0.30405281	 0.52862574
1477.65000000	 0.30402554	 0.52904989
1477.70000000	 0.30399827	 0.52947405
1477.75000000	 0.30397099	 0.52989820
1477.80000000	 0.30399002	 0.53032236
1477.85000000	 0.30402062	 0.53074651
1477.90000000	 0.30405122	 0.53117067
1477.95000000	 0.30408183	 0.53159482
1478.00000000	 0.30406078	 0.53201898
1478.05000000	 0.30397401	 0.53244314
1478.10000000	 0.30388724	 0.53286729
1478.15000000	 0.30380047	 0.53329145
1478.20000000	 0.30371979	 0.53371560
1478.25000000	 0.30373456	 0.53413976
1478.30000000	 0.30374933	 0.53456391
1478.35000000	 0.30376409	 0.53498135
1478.40000000	 0.30377886	 0.53539561
1478.45000000	 0.30384144	 0.53580986
1478.50000000	 0.30392450	 0.53622412
1478.55000000	 0.30400757	 0.53663837
1478.60000000	 0.30409063	 0.53705263
1478.65000000	 0.30424742	 0.53746688
1478.70000000	 0.30456087	 0.53788113
1478.75000000	 0.30487433	 0.53829539
1478.80000000	 0.30518778	 0.53870964
1478.85000000	 0.30550124	 0.53912390
1478.90000000	 0.30597144	 0.53953815
1478.95000000	 0.30644851	 0.53995240
1479.00000000	 0.30692558	 0.54036666
1479.05000000	 0.30740266	 0.54078091
1479.10000000	 0.30784689	 0.54119517
1479.15000000	 0.30826733	 0.54160942
1479.20000000	 0.30868777	 0.54202368
1479.25000000	 0.30910822	 0.54243793
1479.30000000	 0.30947796	 0.54285218
1479.35000000	 0.30964488	 0.54326644
1479.40000000	 0.30981181	 0.54368069
1479.45000000	 0.30997873	 0.54409495
1479.50000000	 0.31014566	 0.54450920
1479.55000000	 0.31013184	 0.54492345
1479.60000000	 0.31007834	 0.54533771
1479.65000000	 0.31002484	 0.54575196
1479.70000000	 0.30997134	 0.54616622
1479.75000000	 0.30982945	 0.54658047
1479.80000000	 0.30957508	 0.54699473
1479.85000000	 0.30932071	 0.54740898
1479.90000000	 0.30906634	 0.54782323
1479.95000000	 0.30881126	 0.54823749
1480.00000000	 0.30854514	 0.54865174
1480.05000000	 0.30827902	 0.54906600
1480.10000000	 0.30801290	 0.54948025
1480.15000000	 0.30774677	 0.54989450
1480.20000000	 0.30741652	 0.55030876
1480.25000000	 0.30705608	 0.55072301
1480.30000000	 0.30669565	 0.55113727
1480.35000000	 0.30633521	 0.55155152
1480.40000000	 0.30602565	 0.55196578
1480.45000000	 0.30583480	 0.55238003
1480.50000000	 0.30564395	 0.55279428
1480.55000000	 0.30545310	 0.55320854
1480.60000000	 0.30526225	 0.55362279
1480.65000000	 0.30504813	 0.55403705
1480.70000000	 0.30483199	 0.55445130
1480.75000000	 0.30461585	 0.55486556
1480.80000000	 0.30439971	 0.55527981
1480.85000000	 0.30432881	 0.55569406
1480.90000000	 0.30438163	 0.55610832
1480.95000000	 0.30443446	 0.55652257
1481.00000000	 0.30448728	 0.55693683
1481.05000000	 0.30453193	 0.55735108
1481.10000000	 0.30452642	 0.55776533
1481.15000000	 0.30452090	 0.55817959
1481.20000000	 0.30451538	 0.55859384
1481.25000000	 0.30450986	 0.55900810
1481.30000000	 0.30466626	 0.55942235
1481.35000000	 0.30487378	 0.55983661
1481.40000000	 0.30508130	 0.56025086
1481.45000000	 0.30528883	 0.56066511
1481.50000000	 0.30547122	 0.56107937
1481.55000000	 0.30561261	 0.56149362
1481.60000000	 0.30575401	 0.56190788
1481.65000000	 0.30589540	 0.56232213
1481.70000000	 0.30603679	 0.56273638
1481.75000000	 0.30623446	 0.56315064
1481.80000000	 0.30643328	 0.56356489
1481.85000000	 0.30663210	 0.56397915
1481.90000000	 0.30683091	 0.56439340
1481.95000000	 0.30690271	 0.56480766
1482.00000000	 0.30688254	 0.56522191
1482.05000000	 0.30686236	 0.56563616
1482.10000000	 0.30684218	 0.56605042
1482.15000000	 0.30675712	 0.56646467
1482.20000000	 0.30641254	 0.56687893
1482.25000000	 0.30606797	 0.56729318
1482.30000000	 0.30572340	 0.56770743
1482.35000000	 0.30537882	 0.56812169
1482.40000000	 0.30507278	 0.56796367
1482.45000000	 0.30477638	 0.56773780
1482.50000000	 0.30447998	 0.56751193
1482.55000000	 0.30418357	 0.56728606
1482.60000000	 0.30383099	 0.56706019
1482.65000000	 0.30339412	 0.56683432
1482.70000000	 0.30295726	 0.56660845
1482.75000000	 0.30252040	 0.56638257
1482.80000000	 0.30208354	 0.56615670
1482.85000000	 0.30178695	 0.56593083
1482.90000000	 0.30149037	 0.56570496
1482.95000000	 0.30119378	 0.56547909
1483.00000000	 0.30089719	 0.56525322
1483.05000000	 0.30067076	 0.56502735
1483.10000000	 0.30049110	 0.56480148
1483.15000000	 0.30031144	 0.56457561
1483.20000000	 0.30013178	 0.56434974
1483.25000000	 0.30004209	 0.56412387
1483.30000000	 0.30027138	 0.56389799
1483.35000000	 0.30050068	 0.56367212
1483.40000000	 0.30072997	 0.56344625
1483.45000000	 0.30095926	 0.56322038
1483.50000000	 0.30115877	 0.56299451
1483.55000000	 0.30135174	 0.56276864
1483.60000000	 0.30154471	 0.56254277
1483.65000000	 0.30173768	 0.56231690
1483.70000000	 0.30204345	 0.56209103
1483.75000000	 0.30251984	 0.56186516
1483.80000000	 0.30299622	 0.56163929
1483.85000000	 0.30347261	 0.56141341
1483.90000000	 0.30394899	 0.56118754
1483.95000000	 0.30419613	 0.56096167
1484.00000000	 0.30444326	 0.56073580
1484.05000000	 0.30469040	 0.56050993
1484.10000000	 0.30493754	 0.56028406
1484.15000000	 0.30520308	 0.56005819
1484.20000000	 0.30548090	 0.55983232
1484.25000000	 0.30575871	 0.55960645
1484.30000000	 0.30603653	 0.55938058
1484.35000000	 0.30631615	 0.55915471
1484.40000000	 0.30660302	 0.55892883
1484.45000000	 0.30688989	 0.55870296
1484.50000000	 0.30717675	 0.55847709
1484.55000000	 0.30746362	 0.55825122
1484.60000000	 0.30767847	 0.55802535
1484.65000000	 0.30787300	 0.55779948
1484.70000000	 0.30806754	 0.55757361
1484.75000000	 0.30826208	 0.55734774
1484.80000000	 0.30836297	 0.55712187
1484.85000000	 0.30831107	 0.55689600
1484.90000000	 0.30825917	 0.55667012
1484.95000000	 0.30820728	 0.55644425
1485.00000000	 0.30815538	 0.55621838
1485.05000000	 0.30808626	 0.55599251
1485.10000000	 0.30801679	 0.55576664
1485.15000000	 0.30794731	 0.55554077
1485.20000000	 0.30787784	 0.55531490
1485.25000000	 0.30774239	 0.55508903
1485.30000000	 0.30755511	 0.55486316
1485.35000000	 0.30736783	 0.55463729
1485.40000000	 0.30718055	 0.55441142
1485.45000000	 0.30699408	 0.55418554
1485.50000000	 0.30681259	 0.55395967
1485.55000000	 0.30663111	 0.55373380
1485.60000000	 0.30644962	 0.55350793
1485.65000000	 0.30626813	 0.55328206
1485.70000000	 0.30595811	 0.55305619
1485.75000000	 0.30560294	 0.55283032
1485.80000000	 0.30524776	 0.55260445
1485.85000000	 0.30489259	 0.55237858
1485.90000000	 0.30458208	 0.55215271
1485.95000000	 0.30436648	 0.55192684
1486.00000000	 0.30415089	 0.55170096
1486.05000000	 0.30393529	 0.55147509
1486.10000000	 0.30371969	 0.55124922
1486.15000000	 0.30346376	 0.55102335
1486.20000000	 0.30320334	 0.55079748
1486.25000000	 0.30294292	 0.55057161
1486.30000000	 0.30268251	 0.55034574
1486.35000000	 0.30253708	 0.55011987
1486.40000000	 0.30251622	 0.54988885
1486.45000000	 0.30249536	 0.54962335
1486.50000000	 0.30247451	 0.54935785
1486.55000000	 0.30245135	 0.54909235
1486.60000000	 0.30239223	 0.54882686
1486.65000000	 0.30233311	 0.54856136
1486.70000000	 0.30227399	 0.54829586
1486.75000000	 0.30221487	 0.54803037
1486.80000000	 0.30213844	 0.54776487
1486.85000000	 0.30205236	 0.54749937
1486.90000000	 0.30196627	 0.54723388
1486.95000000	 0.30188019	 0.54696838
1487.00000000	 0.30169412	 0.54670288
1487.05000000	 0.30115357	 0.54643738
1487.10000000	 0.30061302	 0.54617189
1487.15000000	 0.30007246	 0.54590639
1487.20000000	 0.29953191	 0.54564089
1487.25000000	 0.29818414	 0.54537540
1487.30000000	 0.29663457	 0.54510990
1487.35000000	 0.29508500	 0.54484440
1487.40000000	 0.29353542	 0.54457890
1487.45000000	 0.29178713	 0.54431341
1487.50000000	 0.28971460	 0.54404791
1487.55000000	 0.28764207	 0.54378241
1487.60000000	 0.28556954	 0.54351692
1487.65000000	 0.28349701	 0.54325142
1487.70000000	 0.28144738	 0.54298592
1487.75000000	 0.27939922	 0.54272043
1487.80000000	 0.27735106	 0.54245493
1487.85000000	 0.27530290	 0.54218943
1487.90000000	 0.27380436	 0.54192393
1487.95000000	 0.27281318	 0.54165844
1488.00000000	 0.27182200	 0.54139294
1488.05000000	 0.27083081	 0.54112744
1488.10000000	 0.26996928	 0.54086195
1488.15000000	 0.27027463	 0.54059645
1488.20000000	 0.27057997	 0.54033095
1488.25000000	 0.27088531	 0.54006546
1488.30000000	 0.27119066	 0.53979996
1488.35000000	 0.27245164	 0.53953446
1488.40000000	 0.27420492	 0.53926896
1488.45000000	 0.27595820	 0.53900347
1488.50000000	 0.27771148	 0.53873797
1488.55000000	 0.27955848	 0.53847247
1488.60000000	 0.28170225	 0.53820698
1488.65000000	 0.28384602	 0.53794148
1488.70000000	 0.28598979	 0.53767598
1488.75000000	 0.28813356	 0.53741049
1488.80000000	 0.29030187	 0.53714499
1488.85000000	 0.29247631	 0.53687949
1488.90000000	 0.29465076	 0.53661399
1488.95000000	 0.29682520	 0.53634850
1489.00000000	 0.29865863	 0.53608300
1489.05000000	 0.29993566	 0.53581750
1489.10000000	 0.30121269	 0.53555201
1489.15000000	 0.30248972	 0.53528651
1489.20000000	 0.30376675	 0.53502101
1489.25000000	 0.30416222	 0.53475551
1489.30000000	 0.30450141	 0.53449002
1489.35000000	 0.30484061	 0.53422452
1489.40000000	 0.30517981	 0.53395902
1489.45000000	 0.30528314	 0.53369353
1489.50000000	 0.30515060	 0.53342803
1489.55000000	 0.30501807	 0.53316253
1489.60000000	 0.30488553	 0.53289704
1489.65000000	 0.30475089	 0.53263154
1489.70000000	 0.30458315	 0.53236604
1489.75000000	 0.30441542	 0.53210054
1489.80000000	 0.30424768	 0.53183505
1489.85000000	 0.30407995	 0.53156955
1489.90000000	 0.30389427	 0.53130405
1489.95000000	 0.30369759	 0.53103856
1490.00000000	 0.30350091	 0.53077306
1490.05000000	 0.30330423	 0.53050756
1490.10000000	 0.30313686	 0.53024207
1490.15000000	 0.30310124	 0.52997657
1490.20000000	 0.30306562	 0.52971107
1490.25000000	 0.30302999	 0.52944557
1490.30000000	 0.30299437	 0.52918008
1490.35000000	 0.30300728	 0.52891458
1490.40000000	 0.30303724	 0.52864908
1490.45000000	 0.30306720	 0.52854461
1490.50000000	 0.30309716	 0.52869200
1490.55000000	 0.30314425	 0.52883939
1490.60000000	 0.30323127	 0.52898678
1490.65000000	 0.30331830	 0.52913417
1490.70000000	 0.30340533	 0.52928156
1490.75000000	 0.30349236	 0.52942895
1490.80000000	 0.30347503	 0.52957634
1490.85000000	 0.30344070	 0.52972374
1490.90000000	 0.30340637	 0.52987113
1490.95000000	 0.30337205	 0.53001852
1491.00000000	 0.30334244	 0.53016591
1491.05000000	 0.30331936	 0.53031330
1491.10000000	 0.30329628	 0.53046069
1491.15000000	 0.30327320	 0.53060808
1491.20000000	 0.30325013	 0.53075547
1491.25000000	 0.30301916	 0.53090286
1491.30000000	 0.30277954	 0.53105025
1491.35000000	 0.30253991	 0.53119764
1491.40000000	 0.30230029	 0.53134503
1491.45000000	 0.30205749	 0.53149242
1491.50000000	 0.30181176	 0.53163981
1491.55000000	 0.30156604	 0.53178720
1491.60000000	 0.30132031	 0.53193459
1491.65000000	 0.30108205	 0.53208198
1491.70000000	 0.30096072	 0.53222937
1491.75000000	 0.30083940	 0.53237676
1491.80000000	 0.30071808	 0.53252415
1491.85000000	 0.30059676	 0.53267154
1491.90000000	 0.30055350	 0.53281893
1491.95000000	 0.30055808	 0.53296632
1492.00000000	 0.30056266	 0.53311371
1492.05000000	 0.30056724	 0.53326110
1492.10000000	 0.30059238	 0.53340849
1492.15000000	 0.30072542	 0.53355588
1492.20000000	 0.30085847	 0.53370327
1492.25000000	 0.30099151	 0.53385067
1492.30000000	 0.30112456	 0.53399806
1492.35000000	 0.30132573	 0.53414545
1492.40000000	 0.30155584	 0.53429284
1492.45000000	 0.30178594	 0.53444023
1492.50000000	 0.30201604	 0.53458762
1492.55000000	 0.30223464	 0.53473501
1492.60000000	 0.30242049	 0.53488240
1492.65000000	 0.30260633	 0.53502979
1492.70000000	 0.30279218	 0.53517718
1492.75000000	 0.30297803	 0.53532457
1492.80000000	 0.30306707	 0.53547196
1492.85000000	 0.30313191	 0.53561935
1492.90000000	 0.30319676	 0.53576674
1492.95000000	 0.30326160	 0.53591413
1493.00000000	 0.30332658	 0.53606152
1493.05000000	 0.30339182	 0.53620891
1493.10000000	 0.30345707	 0.53635630
1493.15000000	 0.30352231	 0.53650369
1493.20000000	 0.30358755	 0.53665108
1493.25000000	 0.30353434	 0.53679847
1493.30000000	 0.30346467	 0.53694586
1493.35000000	 0.30339499	 0.53709325
1493.40000000	 0.30332532	 0.53724064
1493.45000000	 0.30327549	 0.53738803
1493.50000000	 0.30325307	 0.53753542
1493.55000000	 0.30323065	 0.53768281
1493.60000000	 0.30320823	 0.53783020
1493.65000000	 0.30318581	 0.53797760
1493.70000000	 0.30323776	 0.53812499
1493.75000000	 0.30329280	 0.53827238
1493.80000000	 0.30334784	 0.53841977
1493.85000000	 0.30340288	 0.53856716
1493.90000000	 0.30348675	 0.53871455
1493.95000000	 0.30359945	 0.53886194
1494.00000000	 0.30371215	 0.53900933
1494.05000000	 0.30382485	 0.53915672
1494.10000000	 0.30393626	 0.53930411
1494.15000000	 0.30401681	 0.53945150
1494.20000000	 0.30409737	 0.53959889
1494.25000000	 0.30417792	 0.53974628
1494.30000000	 0.30425848	 0.53989367
1494.35000000	 0.30429209	 0.54004106
1494.40000000	 0.30428881	 0.54018845
1494.45000000	 0.30428553	 0.54033584
1494.50000000	 0.30428225	 0.54091438
1494.55000000	 0.30425979	 0.54170146
1494.60000000	 0.30406475	 0.54248854
1494.65000000	 0.30386972	 0.54327562
1494.70000000	 0.30367468	 0.54406270
1494.75000000	 0.30347964	 0.54484978
1494.80000000	 0.30326505	 0.54563686
1494.85000000	 0.30303957	 0.54642394
1494.90000000	 0.30281408	 0.54721102
1494.95000000	 0.30258860	 0.54799810
1495.00000000	 0.30233905	 0.54878518
1495.05000000	 0.30196503	 0.54957226
1495.10000000	 0.30159101	 0.55035934
1495.15000000	 0.30121698	 0.55114642
1495.20000000	 0.30084296	 0.55193350
1495.25000000	 0.30032234	 0.55272058
1495.30000000	 0.29973889	 0.55350766
1495.35000000	 0.29915544	 0.55429474
1495.40000000	 0.29857199	 0.55508182
1495.45000000	 0.29801351	 0.55586890
1495.50000000	 0.29754358	 0.55665599
1495.55000000	 0.29707365	 0.55744307
1495.60000000	 0.29660371	 0.55823015
1495.65000000	 0.29613378	 0.55901723
1495.70000000	 0.29559438	 0.55980431
1495.75000000	 0.29503057	 0.56059139
1495.80000000	 0.29446677	 0.56137847
1495.85000000	 0.29390297	 0.56216555
1495.90000000	 0.29344714	 0.56295263
1495.95000000	 0.29326896	 0.56373971
1496.00000000	 0.29309078	 0.56452679
1496.05000000	 0.29291260	 0.56531387
1496.10000000	 0.29273442	 0.56610095
1496.15000000	 0.29271043	 0.56688803
1496.20000000	 0.29272499	 0.56767511
1496.25000000	 0.29273955	 0.56846219
1496.30000000	 0.29275410	 0.56924927
1496.35000000	 0.29288057	 0.57003635
1496.40000000	 0.29324484	 0.57082343
1496.45000000	 0.29360911	 0.57161051
1496.50000000	 0.29397339	 0.57239759
1496.55000000	 0.29433766	 0.57318467
1496.60000000	 0.29457477	 0.57397175
1496.65000000	 0.29478766	 0.57475883
1496.70000000	 0.29500055	 0.57554591
1496.75000000	 0.29521345	 0.57633299
1496.80000000	 0.29551652	 0.57712007
1496.85000000	 0.29597993	 0.57790715
1496.90000000	 0.29644333	 0.57869423
1496.95000000	 0.29690673	 0.57948131
1497.00000000	 0.29737014	 0.58026839
1497.05000000	 0.29744882	 0.58105547
1497.10000000	 0.29747503	 0.58184255
1497.15000000	 0.29750125	 0.58262963
1497.20000000	 0.29752747	 0.58341671
1497.25000000	 0.29759829	 0.58420379
1497.30000000	 0.29773601	 0.58499087
1497.35000000	 0.29787373	 0.58577795
1497.40000000	 0.29801145	 0.58656503
1497.45000000	 0.29814918	 0.58735211
1497.50000000	 0.29822167	 0.58813919
1497.55000000	 0.29828850	 0.58892627
1497.60000000	 0.29835532	 0.58971335
1497.65000000	 0.29842214	 0.59050043
1497.70000000	 0.29853665	 0.59128751
1497.75000000	 0.29871701	 0.59207459
1497.80000000	 0.29889737	 0.59286167
1497.85000000	 0.29907773	 0.59364875
1497.90000000	 0.29925809	 0.59443583
1497.95000000	 0.29931633	 0.59522291
1498.00000000	 0.29936678	 0.59600999
1498.05000000	 0.29941723	 0.59679707
1498.10000000	 0.29946768	 0.59758415
1498.15000000	 0.29941871	 0.59837123
1498.20000000	 0.29925304	 0.59915831
1498.25000000	 0.29908736	 0.59994539
1498.30000000	 0.29892169	 0.60073247
1498.35000000	 0.29875602	 0.60151955
1498.40000000	 0.29850216	 0.60230663
1498.45000000	 0.29824444	 0.60309371
1498.50000000	 0.29798672	 0.60388079
1498.55000000	 0.29772899	 0.60360343
1498.60000000	 0.29745026	 0.60330213
1498.65000000	 0.29714876	 0.60300082
1498.70000000	 0.29684726	 0.60269951
1498.75000000	 0.29654576	 0.60239821
1498.80000000	 0.29624426	 0.60209690
1498.85000000	 0.29620741	 0.60179560
1498.90000000	 0.29617596	 0.60149429
1498.95000000	 0.29614451	 0.60119299
1499.00000000	 0.29611307	 0.60089168
1499.05000000	 0.29616416	 0.60059037
1499.10000000	 0.29630467	 0.60028907
1499.15000000	 0.29644518	 0.59998776
1499.20000000	 0.29658569	 0.59968646
1499.25000000	 0.29672620	 0.59938515
1499.30000000	 0.29706692	 0.59908384
1499.35000000	 0.29740763	 0.59878254
1499.40000000	 0.29774835	 0.59848123
1499.45000000	 0.29808906	 0.59817993
1499.50000000	 0.29838031	 0.59787862
1499.55000000	 0.29862209	 0.59757731
1499.60000000	 0.29886387	 0.59727601
1499.65000000	 0.29910566	 0.59697470
1499.70000000	 0.29934744	 0.59667340
1499.75000000	 0.29957779	 0.59637209
1499.80000000	 0.29980814	 0.59607078
1499.85000000	 0.30003849	 0.59576948
1499.90000000	 0.30026883	 0.59546817
1499.95000000	 0.30035513	 0.59516687
1500.00000000	 0.30029737	 0.59486556
1500.05000000	 0.30023961	 0.59456425
1500.10000000	 0.30018185	 0.59426295
1500.15000000	 0.30012409	 0.59396164
1500.20000000	 0.30003703	 0.59366034
1500.25000000	 0.29994997	 0.59335903
1500.30000000	 0.29986291	 0.59305772
1500.35000000	 0.29977585	 0.59275642
1500.40000000	 0.29970236	 0.59245511
1500.45000000	 0.29964245	 0.59215381
1500.50000000	 0.29958255	 0.59185250
1500.55000000	 0.29952264	 0.59155120
1500.60000000	 0.29946273	 0.59124989
1500.65000000	 0.29940671	 0.59094858
1500.70000000	 0.29935068	 0.59064728
1500.75000000	 0.29929466	 0.59034597
1500.80000000	 0.29923863	 0.59004467
1500.85000000	 0.29920868	 0.58974336
1500.90000000	 0.29920481	 0.58944205
1500.95000000	 0.29920093	 0.58914075
1501.00000000	 0.29919706	 0.58883944
1501.05000000	 0.29919318	 0.58853814
1501.10000000	 0.29916924	 0.58823683
1501.15000000	 0.29914489	 0.58793552
1501.20000000	 0.29912054	 0.58763422
1501.25000000	 0.29909619	 0.58733291
1501.30000000	 0.29903658	 0.58703161
1501.35000000	 0.29893876	 0.58673030
1501.40000000	 0.29884094	 0.58642899
1501.45000000	 0.29874312	 0.58612769
1501.50000000	 0.29864530	 0.58582638
1501.55000000	 0.29850784	 0.58552508
1501.60000000	 0.29836873	 0.58522377
1501.65000000	 0.29822962	 0.58492246
1501.70000000	 0.29809051	 0.58462116
1501.75000000	 0.29778279	 0.58431985
1501.80000000	 0.29727554	 0.58401855
1501.85000000	 0.29676829	 0.58371724
1501.90000000	 0.29626104	 0.58341593
1501.95000000	 0.29575380	 0.58311463
1502.00000000	 0.29431481	 0.58281332
1502.05000000	 0.29281636	 0.58251202
1502.10000000	 0.29131790	 0.58221071
1502.15000000	 0.28981945	 0.58190941
1502.20000000	 0.28827226	 0.58160810
1502.25000000	 0.28666306	 0.58130679
1502.30000000	 0.28505385	 0.58100549
1502.35000000	 0.28344465	 0.58070418
1502.40000000	 0.28183544	 0.58040288
1502.45000000	 0.28019823	 0.58010157
1502.50000000	 0.27855852	 0.57980026
1502.55000000	 0.27691881	 0.57938363
1502.60000000	 0.27527910	 0.57870789
1502.65000000	 0.27400204	 0.57803216
1502.70000000	 0.27326897	 0.57735642
1502.75000000	 0.27253589	 0.57668068
1502.80000000	 0.27180282	 0.57600494
1502.85000000	 0.27106974	 0.57532920
1502.90000000	 0.27122365	 0.57465347
1502.95000000	 0.27147610	 0.57397773
1503.00000000	 0.27172856	 0.57330199
1503.05000000	 0.27198101	 0.57262625
1503.10000000	 0.27261071	 0.57195051
1503.15000000	 0.27386117	 0.57127478
1503.20000000	 0.27511162	 0.57059904
1503.25000000	 0.27636208	 0.56992330
1503.30000000	 0.27761253	 0.56924756
1503.35000000	 0.27875659	 0.56857182
1503.40000000	 0.27988334	 0.56789608
1503.45000000	 0.28101008	 0.56722035
1503.50000000	 0.28213682	 0.56654461
1503.55000000	 0.28298979	 0.56586887
1503.60000000	 0.28331130	 0.56519313
1503.65000000	 0.28363281	 0.56451739
1503.70000000	 0.28395433	 0.56384166
1503.75000000	 0.28427584	 0.56316592
1503.80000000	 0.28401026	 0.56249018
1503.85000000	 0.28361582	 0.56181444
1503.90000000	 0.28322137	 0.56113870
1503.95000000	 0.28282692	 0.56046297
1504.00000000	 0.28217569	 0.55978723
1504.05000000	 0.28092528	 0.55911149
1504.10000000	 0.27967487	 0.55843575
1504.15000000	 0.27842447	 0.55776001
1504.20000000	 0.27717406	 0.55708427
1504.25000000	 0.27606958	 0.55640854
